Text,Category
asian export fear damag usjapan rift mount trade friction u japan rais fear among mani asia export nation row could inflict farreach econom damag businessmen offici said told reuter correspond asian capit u move japan might boost protectionist sentiment u lead curb american import product export said conflict would hurt longrun shortterm tokyo loss might gain u said impos 300 mln dlr tariff import japanes electron good april 17 retali japan alleg failur stick pact sell semiconductor world market cost unoffici japanes estim put impact tariff 10 billion dlr spokesman major electron firm said would virtual halt export product hit new tax wouldnt abl busi said spokesman lead japanes electron firm matsushita electr industri co ltd mct tariff remain place length time beyond month mean complet eros export good subject tariff u said tom murtha stock analyst tokyo offic broker jame capel co taiwan businessmen offici also worri awar serious u threat japan serv warn u said senior taiwanes trade offici ask name taiwan trade trade surplu 156 billion dlr last year 95 pct u surplu help swell taiwan foreign exchang reserv 53 billion dlr among world largest must quickli open market remov trade barrier cut import tariff allow import u product want defus problem possibl u retali said paul sheen chairman textil export taiwan safe group senior offici south korea trade promot associ said trade disput u japan might also lead pressur south korea whose chief export similar japan last year south korea trade surplu 71 billion dlr u 49 billion dlr 1985 malaysia trade offic businessmen said tough curb japan might allow hardhit produc semiconductor third countri expand sale u hong kong newspap alleg japan sell belowcost semiconductor electron manufactur share view businessmen said shortterm commerci advantag would outweigh u pressur block import shortterm view said lawrenc mill directorgener feder hong kong industri whole purpos prevent import one day extend sourc much seriou hong kong disadvantag action restrain trade said u last year hong kong biggest export market account 30 pct domest produc export australian govern await outcom trade talk u japan interest concern industri minist john button said canberra last friday kind deterior trade relat two countri major trade partner seriou matter button said said australia concern centr coal beef australia two largest export japan also signific u export countri meanwhil usjapanes diplomat manoeuvr solv trade standoff continu japan rule liber democrat parti yesterday outlin packag econom measur boost japanes economi measur propos includ larg supplementari budget record public work spend first half financi year also call steppedup spend emerg measur stimul economi despit prime minist yasuhiro nakason avow fiscal reform program deputi u trade repres michael smith makoto kuroda japan deputi minist intern trade industri miti due meet washington week effort end disput,trade
australian foreign ship ban end nsw port hit tug crew new south wale nsw victoria western australia yesterday lift ban foreignflag ship carri contain nsw port still disrupt separ disput ship sourc said ban impos week ago pay claim prevent movement port nearli 20 vessel said pay disput went hear arbitr commiss today meanwhil disrupt began today cargo handl port sydney newcastl port kembla said industri action nsw port part week action call nsw trade labour council protest chang state worker compens law ship sourc said variou port union appear take turn work short time start shift walk cargo handl port disrupt contain movement affect stop altogeth said said could say long disrupt go effect ship movement,ship
sri lanka get usda approv wheat price food depart offici said u depart agricultur approv continent grain co sale 52500 tonn soft wheat 89 u dlr tonn c f pacif northwest colombo said shipment april 8 20 deliveri,wheat
sumitomo bank aim quick recoveri merger sumitomo bank ltd sumit certain lose statu japan profit bank result merger heiwa sogo bank financi analyst said osakabas sumitomo desposit around 239 trillion yen merg heiwa sogo small struggl bank estim 129 billion dlr unrecover loan octob despit linkup sumitomo presid koh komatsu told reuter confid bank quickli regain posit well back posit first place within three year komatsu said interview said merger initi reduc sumitomo profit effici vastli expand sumitomo branch network tokyo metropolitan area rel weak financi analyst divid whether quickli gambl pay said sumitomo may paid much heiwa sogo view smaller bank larg debt other argu merger cost effect creat compar branch network scratch analyst agre bank aggress expand oversea enter lucr secur busi gear domest competit question wisdom move theyv made bold move put everyth place larg hand said kleinwort benson ltd financi analyst simon smithson among sumitomo problem limit place move enter u secur busi take share american invest bank goldman sach co sumitomo last august agre pay 500 mln dlr 125 pct limit partnership bank time least feder reserv board forbidden exchang personnel increas busi tieup wide look lame duck fed stricter sumitomo expect said one analyst komatsu said move pay time u regul chang near futur variou thing wait two three year 21st centuri komatsu said komatsu also will patient possibl rout secur busi home articl 65 secur exchang act japan version u glasssteagal act separ commerci invest bank wall two crumbl komatsu said hope deregul creat new opportun need find new busi chanc komatsu said case secur relat case trust bank relat that kind deregul want chang occur sumitomo focu domest secur busi profit govern bond deal strengthen relat meiko secur co ltd hold five pct share komatsu said said sumitomo cautious optimist enter secur busi swiss univers bank subsidiari banca del gottardo financ ministri expect grant licenc secur subsidiari u commerci bank soon follow similar decis subsidiari european univers bank parent hold le 50 pct komatsu reluct push hard similar decis gottardo subsidiari dont want make wave expect allow two three year said like citi bank sumitomo also push expand lend individu small medium busi replac disappear demand big busi ad analyst said sumitomo devot lot time digest recent initi includ merger ail heiwa sogo sumitomo bold strategi said kleinwort smithson question absorb juggl around next decad see strategi right wrong,acq
bundesbank alloc 61 billion mark tender bundesbank accept bid 61 billion mark today tender 28day secur repurchas pact fix rate 380 pct central bank spokesman said bank bid total 122 billion mark liquid credit fund alloc today must buy back secur pledg may 6 149 billion mark drain market today earlier pact expir bundesbank effect withdraw net 81 billion mark market today alloc bundesbank spokesman said answer enquiri withdraw fund reflect tighten credit polici seen context plenti liquid bank system bank held averag 593 billion mark bundesbank first six day month well clear like april minimum reserv requir 51 billion mark bundesbank spokesman note bid 122 billion mark outgo 149 billion bank shown felt plenti liquid dealer said bundesbank keen prevent much liquid accru market would blunt effect secur repurchas agreement main openmarket instrument steer market interest rate two pact like month next two week bundesbank current steer call money 36 38 pct although shortterm fluctuat outsid rang possibl dealer said,interest
amatil propos twoforf bonu share issu amatil ltd amaa said propos make twoforf bonu issu revalu reserv sharehold regist may 26 sharehold ask approv issu increas authoris capit 175 mln share 125 mln gener meet may 1 said statement new share rank dividend declar octob 31 amatil bat industri plc btil hold 41 pct stake said expect maintain latest annual dividend rate 29 cent share enlarg capit,earn
bowat 1986 pretax profit rise 156 mln stg shr 277p v 207p div 60p v 55p make 100p v 925p turnov 134 billion stg v 129 billion pretax profit 480 mln v 324 mln tax 144 mln v 69 mln compani name bowat industri plc bwtrl trade profit 634 mln v 451 mln trade profit includ packag associ product 232 mln v 142 mln merchant servic 184 mln v 96 mln tissu timber product 90 mln v 58 mln interest debit 154 mln v 127 mln minor interest 70 mln debit v 62 mln debit extraordinari item 154 mln credit v 119 mln debit,earn
uk money market deficit forecast 250 mln stg bank england said forecast shortag around 250 mln stg money market today among main factor affect liquid bill matur offici hand takeup treasuri bill drain 505 mln stg bill repurchas market remov around 194 mln addit rise note circul banker balanc target drain around 110 mln stg partli offset outflow exchequ transact add 690 mln stg system today,interest
cra sold forrest gold 76 mln dlr whim creek whim creek consolid nl said consortium lead pay 7655 mln dlr acquisit cra ltd craa forrest gold pti ltd unit report yesterday cra whim creek disclos price yesterday whim creek hold 44 pct consortium austwhim resourc nl hold 27 pct croesu mine nl 29 pct said statement report forrest gold own two mine western australia produc combin 37000 ounc gold year also own undevelop gold project,acq
bowat industri profit exceed expect bowat industri plc bwtrl 1986 pretax profit 480 mln stg exceed market expect around 40 mln push compani share sharpli high 491p 468p last night dealer said share later ea back 481p bowat report 324 mln stg profit 1985 compani said statement accompani result underli trend show improv intend expand develop exist busi seek new opportun ad appoint david lyon current manag director redland plc rdldl new chief execut analyst note bowat profit 189 mln stg 132 mln previous given boost pension benefit 45 mln stg profit australia far east show greatest percentag rise jump 550 pct 155 mln 100 mln profit uk oper rose 307 pct 247 mln europ 429 pct 110 mln,earn
