Text,Category
argentin 198687 grainoilse registr argentin grain board figur show crop registr grain oilse product februari 11 thousand tonn show futur shipment month 198687 total 198586 total februari 12 1986 bracket bread wheat prev 16558 feb 8720 march 1646 total 26924 41610 maiz mar 480 total 480 nil sorghum nil nil oilse export registr sunflowerse total 150 79 soybean may 200 total 200 nil board also detail export registr subproduct follow subproduct wheat prev 399 feb 487 march 132 apr 100 total 1118 827 linse prev 348 feb 329 mar 68 apr 63 total 808 874 soybean prev 1009 feb 451 mar nil apr nil may 200 total 1661 2185 sunflowerse prev 486 feb 615 mar 251 apr 145 total 1498 1453 veget oil registr sunoil prev 374 feb 1073 mar 245 apr 32 may nil jun 100 total 1824 1176 linoil prev 159 feb 236 mar 204 apr 20 total 618 761 soybean oil prev 37 feb 211 mar nil apr 20 may 90 jun 130 jul 70 total 558 337 reuter,wheat
champion product ch approv stock split champion product inc said board director approv twoforon stock split common share sharehold record april 1 1987 compani also said board vote recommend sharehold annual meet april 23 increas author capit stock five mln 25 mln share,earn
comput termin system cpml complet sale comput termin system inc said complet sale 200000 share common stock warrant acquir addit one mln share sedio nv lugano switzerland 50000 dlr compani said warrant exercis five year purchas price 125 dlr per share comput termin said sedio also right buy addit share increas total hold 40 pct comput termin outstand common stock certain circumst involv chang control compani compani said condit occur warrant would exercis price equal 75 pct common stock market price time exceed 150 dlr per share comput termin also said sold technolgi right dot matrix impact technolog includ futur improv woodco inc houston tex 200000 dlr said would continu exclus worldwid license technolog woodco compani said move part reorgan plan would help pay current oper cost ensur product deliveri comput termin make comput gener label form tag ticket printer termin,acq
cobanco inc cbco year net shr 34 ct v 119 dlr net 807000 v 2858000 asset 5102 mln v 4797 mln deposit 4723 mln v 4403 mln loan 2992 mln v 3272 mln note 4th qtr avail year includ 1985 extraordinari gain tax carri forward 132000 dlr five ct per shr,earn
ohio mattress omt may lower 1st qtr net ohio mattress co said first quarter end februari 28 profit may 24 mln dlr 15 ct share earn first quarter fiscal 1986 compani said declin would due expens relat acquisit middl current quarter seven license seali inc well 82 pct outstand capit stock seali acquisit said first quarter sale substanti higher last year 671 mln dlr note typic report first quarter result late march said report like issu earli april year said delay due administr consider includ conduct apprais connect acquisit,acq
intern inc 2nd qtr jan 31 oper shr loss two ct v profit seven ct oper shr profit 442000 v profit 2986000 rev 2918 mln v 1511 mln avg shr 517 mln v 434 mln six mth oper shr profit nil v profit 12 ct oper net profit 3376000 v profit 5086000 rev 5693 mln v 2985 mln avg shr 516 mln v 411 mln note per shr calcul payment prefer dividend result exclud credit 2227000 four ct 4841000 nine ct 1986 qtr six mth v 2285000 six ct 4104000 11 ct prior period oper loss carryforward,earn
brownforman inc bfd 4th qtr net shr one dlr v 73 ct net 126 mln v 158 mln rev 3373 mln v 3152 mln nine mth shr 307 dlr v 308 dlr net 66 mln v 662 mln rev 159 billion v 9971 mln,earn
dean food df see strong 4th qtr earn dean food co expect earn fourth quarter end may 30 exceed yearago period chairman kenneth dougla told analyst fiscal 1986 fourth quarter food processor report earn 40 ct share dougla also said year sale exceed 14 billion dlr 127 billion dlr prior year repeat earlier project thirdquart earn probabl slightli last year 40 ct share fall rang 34 ct 36 ct share dougla said earli project whether anticip fourth quarter perform would enough u exceed prior year overal earn 153 dlr share 1988 dougla said dean experi 20 pct improv bottom line effect tax reform act alon presid howard dean said fiscal 1988 compani deriv benefit variou dairi frozen veget acquisit ryan milk larsen co dean also said compani benefit acquisit late decemb elgin blender inc west chicago said compani major sharehold ebi food ltd unit kingdom blender licens arrang australia canada brazil japan provid ann entri mcdonald corp mcd weve year dougla told analyst,earn
brownforman bfdb set stock split up payout brownforman inc said board approv threefortwo stock split 35 pct increas compani cash dividend compani cite improv earn outlook continu strong cash flow reason rais dividend brownforman said split class class b common share would effect march 13 compani said director declar quarterli cash dividend new share class 28 ct payabl april one holder record march 20 prior split compani paid 31 ct quarterli brownforman today report 37 pct increas third quarter profit 216 mln dlr 100 dlr share seven pct increas sale record 337 mln dlr brownforman said nine month profit declin bit 660 mln dlr 307 dlr share 662 mln dlr 308 dlr share year earlier due second quarter charg 37 ct share restructur beverag oper compani said lower corpor tax rate restructur expect substanti improv brownforman earn cash flow fiscal 1988,earn
esquir radio electron inc ee 4th qtr shr profit 15 ct v profit four ct annual div 72 ct v 72 ct prior yr net profit 72000 v profit 16000 rev 7075000 v 2330000 12 mth shr profit 42 ct v loss 11 ct net profit 203000 v loss 55000 rev 161 mln v 3971000 note annual dividend payabl april 10 1987 stockhold record march 27 1987,earn
